Địa chỉ,Diện tích,Mặt tiền,Đường tiếp cận,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số phòng tắm,Tình trạng pháp lý,Tình trạng nội thất,Giá,Thành phố,Dự án,Giá trên m²,Số tầng tối đa
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,13.0,Đông - Nam,Tây - Bắc,5,6,6,Đã có giấy chứng nhận,Đầy đủ nội thất,10.0,Hưng Yên,True,125.0,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",70.0,6.0,13.0,Đông - Nam,Tây - Bắc,5,6,4,Đã có giấy chứng nhận,Đầy đủ nội thất,9.8,Hưng Yên,True,140.0,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",60.0,5.2,10.6,Đông - Nam,Đông - Nam,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,8.9,Hưng Yên,True,148.3,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",91.0,6.1,13.6,Đông,Đông - Bắc,5,5,4,Đã có giấy chứng nhận,Cơ bản nội thất,8.6,Hưng Yên,True,94.5,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",96.0,6.0,13.0,Tây - Bắc,Tây - Bắc,4,4,4,Hợp đồng mua bán,Đầy đủ nội thất,9.6,Hưng Yên,True,100.0,4
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,3.4,3.2,Đông - Nam,Tây - Nam,2,2,2,Đã có giấy chứng nhận,Đầy đủ nội thất,3.8,Hồ Chí Minh,False,126.3,3
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",300.0,15.0,32.0,Đông,Nam,3,6,3,Đã có giấy chứng nhận,Đầy đủ nội thất,9.4,Quảng Ninh,True,31.3,5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",91.0,7.0,17.0,Đông - Nam,Đông - Nam,5,4,5,Đã có giấy chứng nhận,Cơ bản nội thất,10.0,Hưng Yên,True,109.9,4
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",65.0,5.0,20.0,Đông - Nam,Đông - Nam,5,5,4,Hợp đồng mua bán,Cơ bản nội thất,7.8,Hưng Yên,True,120.0,5
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,4.6,6.0,Đông - Nam,Đông - Nam,4,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,8.0,Hồ Chí Minh,False,173.7,3
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Đông - Bắc,5,7,5,Hợp đồng mua bán,Cơ bản nội thất,8.7,Hưng Yên,True,116.0,4
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",100.0,7.7,20.4,Đông,Tây - Nam,3,3,3,Đã có giấy chứng nhận,Cơ bản nội thất,3.3,Bình Dương,True,33.0,5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",84.0,6.0,9.6,Tây - Bắc,Đông - Nam,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,9.4,Hưng Yên,True,112.5,4
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,3.5,5.0,Đông - Nam,Đông,2,6,5,Đã có giấy chứng nhận,Đầy đủ nội thất,5.6,Hồ Chí Minh,False,93.3,3
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",369.0,15.0,12.0,Đông - Nam,Đông - Nam,2,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.3,Phú Thọ,True,17.1,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,4,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,7.7,Hưng Yên,True,102.7,4
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,5.0,25.9,Đông,Đông - Nam,2,4,2,Đã có giấy chứng nhận,Cơ bản nội thất,3.2,Hồ Chí Minh,False,59.1,5
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",78.0,6.0,21.4,Đông - Bắc,Đông - Bắc,5,5,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.6,Hưng Yên,True,122.9,5
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4.0,8.0,Đông - Nam,Đông - Nam,5,4,6,Đã có giấy chứng nhận,Cơ bản nội thất,9.5,Hồ Chí Minh,False,140.9,4
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,3.3,3.0,Đông - Nam,Tây - Nam,2,2,2,Đã có giấy chứng nhận,Đầy đủ nội thất,3.9,Hồ Chí Minh,False,138.6,3
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",150.0,9.5,22.8,Bắc,Nam,2,7,4,Đã có giấy chứng nhận,Cơ bản nội thất,6.7,Bình Dương,True,44.7,5
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",72.0,5.6,3.5,Đông - Nam,Đông - Nam,1,4,5,Đã có giấy chứng nhận,Cơ bản nội thất,10.0,Hà Nội,False,138.9,3
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",78.0,6.0,13.0,Đông - Nam,Đông - Nam,4,6,6,Đã có giấy chứng nhận,Cơ bản nội thất,8.6,Hưng Yên,True,110.6,4
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,4.3,6.0,Đông - Bắc,Đông - Bắc,3,4,6,Đã có giấy chứng nhận,Đầy đủ nội thất,6.5,Hồ Chí Minh,False,95.6,3
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,7.2,4.0,Đông - Nam,Nam,3,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,5.8,Hồ Chí Minh,False,136.0,3
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",32.8,4.5,6.0,Đông,Đông,5,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.5,Hà Nội,False,228.7,3
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",168.0,7.0,34.3,Đông - Nam,Tây - Bắc,2,4,4,Hợp đồng mua bán,Cơ bản nội thất,5.2,Bình Dương,True,31.0,5
"Dự án Hoàng Nam Uyên Hưng, Đường Tố Hữu, Phường Uyên Hưng, Tân Uyên, Bình Dương",72.0,17.0,36.0,Đông - Nam,Đông - Nam,2,2,2,Đã có giấy chứng nhận,Cơ bản nội thất,2.0,Bình Dương,True,27.8,5
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",70.0,5.0,13.0,Tây - Nam,Tây - Nam,5,6,4,Hợp đồng mua bán,Cơ bản nội thất,8.5,Hưng Yên,True,121.4,4
"Dự án The Crown - Vinhomes Ocean Park 3, Huyện Văn Giang, Hưng Yên",75.0,5.0,13.0,Tây - Nam,Tây - Nam,5,5,4,Hợp đồng mua bán,Đầy đủ nội thất,8.1,Hưng Yên,True,108.0,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",80.0,5.0,10.4,Tây - Bắc,Đông - Nam,5,4,4,Hợp đồng mua bán,Đầy đủ nội thất,9.0,Hưng Yên,True,112.5,4
"Xã Lại Thượng, Thạch Thất, Hà Nội",378.0,18.4,11.5,Đông - Nam,Đông - Nam,2,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,7.8,Hà Nội,False,20.6,4
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,11.5,Đông - Nam,Tây - Bắc,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.5,Hưng Yên,True,73.9,4
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",54.0,5.8,3.0,Tây - Bắc,Tây - Bắc,4,6,6,Đã có giấy chứng nhận,Đầy đủ nội thất,8.8,Hà Nội,False,163.0,3
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",36.0,3.8,2.2,Nam,Nam,5,4,4,Đã có giấy chứng nhận,Cơ bản nội thất,3.8,Hà Nội,False,106.9,3
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",41.0,4.0,3.5,Tây - Bắc,Nam,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,10.0,Hà Nội,False,243.9,3
"Yên Nghĩa, Hà Đông, Hà Nội",35.0,4.4,3.0,Đông - Bắc,Đông - Nam,4,3,3,Đã có giấy chứng nhận,Cơ bản nội thất,2.9,Hà Nội,False,82.9,3
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,3.6,30.0,Đông - Bắc,Đông - Bắc,3,1,1,Hợp đồng mua bán,Cơ bản nội thất,4.3,Hồ Chí Minh,True,93.5,5
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",180.0,10.0,10.6,Đông - Nam,Đông - Nam,4,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,5.3,Hải Dương,False,29.4,4
"Phụng Châu, Chương Mỹ, Hà Nội",38.0,5.3,3.2,Bắc,Tây - Nam,3,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,2.1,Hà Nội,False,55.3,3
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,5.0,6.0,Bắc,Bắc,3,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.0,Hồ Chí Minh,False,132.2,3
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,10.7,Nam,Nam,2,4,3,Hợp đồng mua bán,Cơ bản nội thất,3.2,Long An,True,35.6,4
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.5,17.0,Đông - Nam,Đông - Nam,5,4,4,Hợp đồng mua bán,Đầy đủ nội thất,6.6,Hưng Yên,True,75.0,4
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85.0,5.7,8.3,Đông - Nam,Đông - Nam,2,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,5.9,Bình Dương,True,69.4,4
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,7.6,13.4,Đông - Nam,Nam,4,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.5,Hồ Chí Minh,True,66.0,4
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.3,4.8,10.0,Tây - Nam,Đông - Nam,5,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.7,Hà Nội,True,119.3,4
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,5.0,14.3,Đông - Nam,Đông - Nam,4,4,4,Hợp đồng mua bán,Đầy đủ nội thất,6.7,Hưng Yên,True,76.1,4
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,3.7,7.3,Đông - Nam,Nam,2,1,1,Đã có giấy chứng nhận,Đầy đủ nội thất,4.1,Hồ Chí Minh,False,107.9,4
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,4.1,6.0,Tây - Nam,Tây - Nam,4,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.7,Hồ Chí Minh,False,192.5,3
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,7.2,8.9,Đông - Nam,Tây - Bắc,2,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,6.2,Hồ Chí Minh,False,54.9,4
"Dự án Phú Cường, Đường 3/2, Phường An Hòa, Rạch Giá, Kiên Giang",150.0,5.0,29.0,Tây,Tây,2,4,2,Hợp đồng mua bán,Đầy đủ nội thất,4.9,Kiên Giang,True,32.7,5
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4.0,4.5,Đông - Bắc,Đông - Bắc,3,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,10.0,Hồ Chí Minh,False,144.7,3
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,5.0,6.6,Đông - Nam,Tây - Nam,3,5,3,Đã có giấy chứng nhận,Đầy đủ nội thất,8.1,Hồ Chí Minh,True,81.0,3
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,4.3,6.0,Tây - Bắc,Nam,3,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.2,Hồ Chí Minh,False,238.3,3
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",85.0,5.7,8.3,Đông - Nam,Đông - Nam,3,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,5.9,Bình Dương,True,69.4,4
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",54.0,4.6,6.8,Tây - Bắc,Đông - Nam,5,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,8.2,Hưng Yên,True,150.9,3
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",52.7,7.0,3.0,Tây - Bắc,Tây - Bắc,5,6,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.6,Hà Nội,False,144.2,3
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",73.0,5.0,6.5,Tây - Nam,Tây - Nam,4,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,9.5,Hà Nội,False,130.1,3
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",80.0,4.5,10.7,Đông - Nam,Đông - Nam,3,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,10.0,Hà Nội,True,125.0,4
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",120.0,5.7,16.3,Đông - Bắc,Tây - Nam,2,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,3.1,Bình Thuận,True,25.8,4
"Dự án Itaewon An Dương, Đường Quốc Lộ 10, Xã Lê Lợi, An Dương, Hải Phòng",82.5,5.1,15.5,Tây - Bắc,Đông - Nam,4,4,3,Đã có giấy chứng nhận,Đầy đủ nội thất,5.7,Hải Phòng,True,69.2,4
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",52.0,4.0,3.0,Tây - Nam,Tây - Nam,4,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.5,Hà Nội,False,125.0,3
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45.0,6.0,3.0,Tây,Tây - Bắc,4,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.6,Hà Nội,False,170.0,3
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",200.0,10.0,13.0,Đông - Nam,Tây - Bắc,2,3,3,Hợp đồng mua bán,Đầy đủ nội thất,5.6,Bình Thuận,True,28.0,4
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",120.0,6.4,10.5,Tây - Nam,Nam,3,4,3,Đã có giấy chứng nhận,Đầy đủ nội thất,8.4,Hà Nội,True,70.0,4
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,4.0,11.0,Tây - Bắc,Bắc,3,4,3,Đã có giấy chứng nhận,Đầy đủ nội thất,4.7,Hồ Chí Minh,False,73.4,4
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",50.0,3.7,3.5,Đông - Nam,Đông - Nam,5,7,6,Đã có giấy chứng nhận,Đầy đủ nội thất,8.9,Hà Nội,False,178.0,3
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",36.0,7.0,3.0,Tây - Nam,Tây - Nam,5,3,4,Đã có giấy chứng nhận,Đầy đủ nội thất,5.6,Hà Nội,False,155.6,3
"Dự án Vườn Vua Resort & Villas, Đường Trung Thịnh, Xã Đồng Trung, Thanh Thủy, Phú Thọ",368.0,17.6,12.1,Đông - Nam,Đông - Nam,2,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.3,Phú Thọ,True,17.1,4
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",88.0,4.9,14.3,Đông - Bắc,Tây - Bắc,4,3,3,Hợp đồng mua bán,Đầy đủ nội thất,6.6,Hưng Yên,True,75.0,4
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,9.2,29.8,Đông - Nam,Đông - Nam,2,3,3,Hợp đồng mua bán,Cơ bản nội thất,7.8,Hồ Chí Minh,True,50.0,5
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,8.6,Đông - Bắc,Đông - Bắc,2,4,2,Đã có giấy chứng nhận,Đầy đủ nội thất,9.5,Hà Nội,True,95.6,4
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,3.4,4.3,Tây - Nam,Nam,5,3,4,Đã có giấy chứng nhận,Cơ bản nội thất,5.0,Hà Nội,False,150.0,3
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",100.0,5.5,10.3,Nam,Bắc,3,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,7.5,Hà Nội,True,75.0,4
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,3.9,2.0,Đông - Nam,Đông - Nam,4,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,2.9,Hà Nội,False,85.3,3
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,Bắc,Bắc,3,4,5,Đã có giấy chứng nhận,Cơ bản nội thất,6.5,Hồ Chí Minh,True,65.0,4
"Dự án Sun Group Hà Nam, Đường Quốc lộ 1A, Xã Tiên Hiệp, Phủ Lý, Hà Nam",60.0,8.0,15.0,Đông - Nam,Đông - Nam,4,5,5,Đã có giấy chứng nhận,Đầy đủ nội thất,4.5,Hà Nam,True,75.0,4
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",85.0,5.1,15.0,Nam,Nam,4,4,6,Đã có giấy chứng nhận,Cơ bản nội thất,4.2,Bà Rịa Vũng Tàu,True,49.4,4
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.0,5.3,5.0,Nam,Tây,3,2,2,Đã có giấy chứng nhận,Đầy đủ nội thất,2.4,Hồ Chí Minh,False,32.2,3
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",62.5,5.0,21.6,Đông - Nam,Đông - Nam,5,5,4,Đã có giấy chứng nhận,Cơ bản nội thất,7.5,Hưng Yên,True,120.0,5
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",87.0,5.0,33.0,Đông - Nam,Tây - Bắc,5,5,5,Đã có giấy chứng nhận,Đầy đủ nội thất,10.0,Hà Nội,True,114.9,5
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,Bắc,Đông,3,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,2.7,Hồ Chí Minh,False,48.2,3
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,5.3,10.9,Bắc,Đông - Nam,3,3,3,Đã có giấy chứng nhận,Đầy đủ nội thất,5.5,Long An,True,61.1,4
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,8.4,9.4,Đông - Bắc,Đông - Bắc,3,3,3,Hợp đồng mua bán,Cơ bản nội thất,4.6,Hồ Chí Minh,True,79.5,4
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",35.0,5.0,2.0,Tây - Bắc,Tây - Nam,5,5,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.8,Hà Nội,False,195.7,3
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,4.7,5.0,Đông - Nam,Đông,3,4,4,Đã có giấy chứng nhận,Cơ bản nội thất,3.8,Hồ Chí Minh,False,74.4,3
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,4.0,5.0,Đông,Đông,3,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,4.3,Hồ Chí Minh,False,79.6,3
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,4.0,3.0,Tây - Nam,Nam,3,3,2,Đã có giấy chứng nhận,Cơ bản nội thất,4.0,Hồ Chí Minh,False,70.6,3
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.8,2.5,Đông - Nam,Đông - Nam,5,6,5,Đã có giấy chứng nhận,Đầy đủ nội thất,6.5,Hà Nội,False,116.1,3
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151.0,4.0,6.0,Tây,Tây,2,4,3,Đã có giấy chứng nhận,Đầy đủ nội thất,3.2,Long An,False,21.2,3
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.8,4.5,6.0,Tây - Nam,Tây - Nam,4,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.2,Hồ Chí Minh,False,177.8,3
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",27.0,4.0,10.0,Tây - Bắc,Tây - Bắc,5,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,7.6,Hà Nội,False,283.3,4
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,5.2,11.6,Tây - Bắc,Tây - Bắc,3,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,9.6,Hồ Chí Minh,True,83.0,4
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",81.0,5.3,18.5,Nam,Bắc,5,4,5,Đã có giấy chứng nhận,Đầy đủ nội thất,9.9,Hà Nội,True,122.2,4
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",102.8,7.0,18.0,Đông - Nam,Nam,2,4,4,Đã có giấy chứng nhận,Cơ bản nội thất,5.6,Bình Dương,True,54.5,4
"Dự án The Empire - Vinhomes Ocean Park 2, Huyện Văn Giang, Hưng Yên",48.0,4.1,10.7,Tây - Nam,Đông - Bắc,4,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,5.8,Hưng Yên,True,120.8,4
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,Tây - Bắc,Tây - Bắc,4,4,4,Đã có giấy chứng nhận,Đầy đủ nội thất,6.8,Hồ Chí Minh,False,123.6,3
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.2,4.5,5.0,Tây - Bắc,Tây - Bắc,3,4,3,Đã có giấy chứng nhận,Cơ bản nội thất,4.3,Hồ Chí Minh,False,76.3,3
