Tên bài hát,Album,Lượt yêu thích,Lượt nghe,Nghệ sĩ,Sáng tác,Thể loại,Nhà cung cấp
Cánh Hoa Héo Tàn,Cánh Hoa Héo Tàn (Single),298K,12.1M,"Mochiii, ACV",Lê Cương,"Việt Nam, V-Pop",ACV Entertainment
Kiếp Sau Vẫn Muốn Lập Gia…,Kiếp Sau Vẫn Muốn Lập Gia Đình Với Anh (Single),495K,28.6M,Oanh Tạ,"Thiên Tú, Nhạc Hoa Lời Việt","Việt Nam, V-Pop",MIXUS
Bật Tình Yêu Lên,Bật Tình Yêu Lên (Single),1.3M,88.7M,"Tăng Duy Tân, Hòa Minzy","Tăng Duy Tân, Hiếu BAE","Việt Nam, V-Pop",Euphoria Media Vietnam
Tòng Phu,Tòng Phu (Single),2.8M,190M,Keyo,Keyo,"Việt Nam, V-Pop",MIXUS
8 Vạn 6 Ngàn Thương,8 Vạn 6 Ngàn Thương (Single),30K,873K,Hạo Thiên (Kim Thiên),Hạo Thiên,"Việt Nam, V-Pop",VIEENT Music
Mưa Của Trời Mây,Mưa Của Trời Mây (Single),56K,2.6M,"Mochiii, Thủy Lê, Bảo Vân","Lê Cương, VIET.","Việt Nam, V-Pop",MIXUS
Đổ Sông Đổ Biển,Đổ Sông Đổ Biển (Single),166K,12.8M,Khang Việt,Long Họ Huỳnh,"Việt Nam, V-Pop",MIXUS
Đi Giữa Trời Rực Rỡ (From…,"Đi Giữa Trời Rực Rỡ (From ""Đi Giữa Trời Rực Rỡ"") (Single)",72K,5M,Ngô Lan Hương,Ngô Lan Hương,"Việt Nam, V-Pop",Believe
Sông Đọa Đày,Sông Đọa Đày (Single),160K,8.7M,Vũ Tuấn Khang,Trần Phúc Thắng,"Việt Nam, V-Pop",MIXUS
Chăm Hoa,Chăm Hoa (Single),72K,5.6M,MONO,Nguyễn Việt Hoàng,"Việt Nam, V-Pop",Ingrooves Music Group
Tội Nghiệp Lắm Em,Tội Nghiệp Lắm Em (Single),336K,28M,Thành Đạt,Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Chuyến Xe Cuộc Đời (Remix),Chuyến Xe Cuộc Đời (Remix) (Single),79K,6.9M,"Thanh Hưng, ACV",Thanh Hưng,"Việt Nam, Dance Việt",Believe
Hoa Cỏ Lau,Hoa Cỏ Lau (Single),1.4M,103.1M,Phong Max,Phong Max,"Việt Nam, V-Pop",VIEENT Music
Exit Sign,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,,,HIEUTHUHAI,HIEUTHUHAI,"Việt Nam, Rap Việt",MMusic
Họa Đi Phúc Sẽ Đến,Họa Đi Phúc Sẽ Đến (Single),524K,31.6M,"Đoàn Lâm, CT","Nhạc Hoa Lời Việt, Đoàn Lâm","Việt Nam, V-Pop",MIXUS
Ikigai,Ikigai (Single),75K,5.5M,"Tăng Duy Tân, Bích Phương",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
Tất Cả Hoặc Không Là Gì Cả,Tất Cả Hoặc Không Là Gì Cả (Single),1.1M,63.9M,"Cao Thái Sơn, Đông Thiên Đức",Đông Thiên Đức,"Việt Nam, V-Pop",MIXUS
Pin Dự Phòng,Dữ Liệu Quý (EP),76K,3.3M,"Dương Domic, Lou Hoàng","Dương Domic, Lou Hoàng","Việt Nam, V-Pop",DAO Music Entertainment
Đấng Nam Nhi,Đấng Nam Nhi (Single),,,Thái Học,Nguyễn Vĩ,"Việt Nam, V-Pop",VIEENT Music
Nỗi Buồn Em Đánh Rơi…,Nỗi Buồn Em Đánh Rơi (Soundtrack from Nụ Hôn Bạc Tỷ The Movie) (Single),8K,589K,Trà My Idol,Nguyễn Thanh Nhật Minh,"Việt Nam, Nhạc Phim, V-Pop",Ingrooves Music Group
Cảm Ơn Em (WM Remix),Cảm Ơn Em (WM Remix) (Single),106K,4.3M,Đặng Thiên Chí,Đặng Thiên Chí,"Việt Nam, EDM Việt",VIEENT Music
Ngoài 30,Ngoài 30 (Single),1.3M,93.9M,Thái Học,Lê Chí Trung,"Việt Nam, V-Pop",MIXUS
Trả Cho Em,Trả Cho Em (Single),,,Khánh Cường,Khánh Cường,"Việt Nam, V-Pop",Euphoria Media Vietnam
Cưới Thôi Em,Cưới Thôi Em (Single),,,Thái Học,Thái Học,"Việt Nam, V-Pop",VIEENT Music
Em Nên Dừng Lại,Em Nên Dừng Lại (Single),2M,132.9M,Khang Việt,Hồ Phong An,"V-Pop, Việt Nam",MIXUS
Như Anh Đã Thấy Em,Như Anh Đã Thấy Em (Single),835K,68.4M,"PhucXP, Freak D",PhucXP,"Việt Nam, V-Pop",DAO Music Entertainment
Từ Nay Em Là Vợ Anh,Từ Nay Em Là Vợ Anh (Single),47K,1.1M,Khả Hiệp,Khả Hiệp,"Việt Nam, R&B Việt",BETA Media
Họ Đâu Thương Em,Họ Đâu Thương Em (Single),894K,60.8M,"Phan Duy Anh, Ngân Ngân, ACV",Khánh Cường,"Việt Nam, V-Pop",MIXUS
Em Là Kẻ Đáng Thương,Em Là Kẻ Đáng Thương (Single),1.5M,116.3M,Phát Huy T4,Phát Huy T4,"Việt Nam, V-Pop",MIXUS
Cô Dâu Của Người Ta (Remix),Cô Dâu Của Người Ta (Remix),67K,3.1M,Khả Hiệp,Khả Hiệp,"Việt Nam, Dance Việt",BETA Media
KHÔNG RA GÌ,KHÔNG RA GÌ (Single),,,Trúc Nhân,,,POPS WORLDWIDE
Khóc Nơi Ta Cười,Khóc Nơi Ta Cười (Single),96K,6.1M,"Đinh Tùng Huy, ACV",Đinh Tùng Huy,"Việt Nam, V-Pop",ACV Entertainment
Tâm Tình Người Lính,Tâm Tình Người Lính (Single),168K,11.7M,Thái Học,Nguyễn Vĩ,"Việt Nam, V-Pop",MIXUS
Thiên Lý Ơi,Thiên Lý Ơi (Single),600K,37.9M,Jack - J97,Jack - J97,"Việt Nam, V-Pop",MIXUS
Lướt Sóng Đạp Mây,Lướt Sóng Đạp Mây (Single),273K,18.7M,Thiên Tú,Thiên Tú,"Việt Nam, V-Pop",MIXUS
Đừng Lo Nhé! Có Anh Đây,Đừng Lo Nhé! Có Anh Đây (Single),1.4M,88.9M,Thiên Tú,Thiên Tú,"Việt Nam, V-Pop",MIXUS
Bức Tranh Lem Màu,Bức Tranh Lem Màu (Single),155K,15.6M,"Khang Việt, Châu Khải Phong",Tuấn Hii,"Việt Nam, V-Pop",MIXUS
Rượu Mừng Hóa Người Dưng,Rượu Mừng Hóa Người Dưng (Single),796K,56.6M,TLong,TLong,"Việt Nam, V-Pop",MIXUS
Lệ Lưu Ly,Lệ Lưu Ly (Single),,,"Vũ Phụng Tiên, DT Tập Rap",Drum7,"Việt Nam, V-Pop",Euphoria Media Vietnam
Phương Án An Toàn,Phương Án An Toàn (Single),11K,1.2M,"Thành Đạt, KayDee, VIEENT Music",Phạm Đăng Khoa,"Việt Nam, V-Pop",VIEENT Music
Anh Thôi Nhân Nhượng…,Anh Thôi Nhân Nhượng (Cover) (TD x MrK Remix) (Single),211K,13.1M,Dunghoangpham,An Clock,"Việt Nam, Dance Việt",ZuongZero Entertainment
Bầu Trời Mới,Bầu Trời Mới (Single),,,"Da LAB, Minh Tốc & Lam",,"Việt Nam, V-Pop",Universal Music Group
Ngộ Nhận Mình Mạnh Mẽ,Ngộ Nhận Mình Mạnh Mẽ (Single),101K,7.6M,Thiên Tú,Thiên Tú,"Việt Nam, V-Pop",MIXUS
Wrong Times,Wrong Times (Single),91K,5.4M,"Puppy, Dangrangto","Puppy, Dangrangto","Việt Nam, Rap Việt",DAO Music Entertainment
Rất Lâu Rồi Mới Khóc (Live…,Rất Lâu Rồi Mới Khóc (Live Version) (Single),49K,2.6M,"Quốc Thiên, ACV",ACV,"Việt Nam, V-Pop",MIXUS
Nhà Giam Tâm Hồn,Khu Vườn Tình,50K,3.8M,"Tăng Duy Tân, 2Pillz",Tăng Duy Tân,"Việt Nam, V-Pop",Euphoria Media Vietnam
Thuyền Quyên,Thuyền Quyên (Single),1.3M,92.4M,Diệu Kiên,Diệu Kiên,"V-Pop, Việt Nam",MIXUS
Dưới Tán Cây Khô Hoa Nở,Dưới Tán Cây Khô Hoa Nở (Single),73K,4M,Jack - J97,Trịnh Trần Phương Tuấn,"Việt Nam, V-Pop",Euphoria Media Vietnam
Ngày Mai Em Đi Mất,Ngày Mai Em Đi Mất (Single),1.1M,85.1M,"Khải Đăng, Đạt G",Đạt G,"Việt Nam, V-Pop",MIXUS
"Ngày Này, Người Con Gái Này","Ngày Này, Người Con Gái Này (Single)",5K,284K,Vũ Cát Tường,,"Việt Nam, V-Pop",Universal Music Group
Khổ Quá Thì Về Mẹ Nuôi,Khổ Quá Thì Về Mẹ Nuôi (Single),25K,2.1M,"Noo Phước Thịnh, Phát Huy T4",Trương Đan Huy,"Việt Nam, V-Pop",Believe
Xuân Huy Hoàng,Xuân Huy Hoàng (Single),25K,1.1M,"Đạt Long Vinh, CT",Đạt Long Vinh,"Việt Nam, V-Pop",VIEENT Music
LÀN ƯU TIÊN,LÀN ƯU TIÊN (Single),,,"MOPIUS, JSOL, Quang Hùng MasterD, Dương Domic, HURRYKNG",Đặng Bảo Anh,"Việt Nam, V-Pop",Universal Music Group
Người Tính Duyên Trời,Người Tính Duyên Trời (Single),175K,11.1M,"Teddy, CT",Thanh Hưng,"Việt Nam, V-Pop",MIXUS
Trả Lại Thanh Xuân Cho Em…,Trả Lại Thanh Xuân Cho Em (AIR Remix) (Single),65K,2.3M,"Air Media, H2K",,"Việt Nam, V-Pop",Euphoria Media Vietnam
Dynasty,Dynasty (Single),,,Miia,"Hillary Bernstein, Joachim Rygg, Mario Valdés","Âu Mỹ, Pop",Ingrooves Music Group
GODS,GODS (Single),,,"League Of Legends, NewJeans","Sebastien Najand, Alex Seaver","Âu Mỹ, Pop",FUGA
Die With A Smile,Die With A Smile (Single),,,"Lady Gaga, Bruno Mars",,"Âu Mỹ, Pop",Universal Music Group
7 Years,7 Years (Single),,,Travis Atreo,"Christopher Brown, David Labrel, Morten Pilegaard, Stefan Forrest, Morten Ristorp Jensen","Âu Mỹ, Pop",Ingrooves Music Group
Someone You Loved,Someone You Loved (Single),,,Travis Atreo,"Thomas Barnes, Peter Kelleher, Lewis Capaldi, Benjamin Kohn, Samuel Roman","Âu Mỹ, Pop",Ingrooves Music Group
Abracadabra,Abracadabra (Single),,,Lady Gaga,,"Âu Mỹ, Pop",Universal Music Group
Eenie Meenie (Cover),,,,Music 30 - 365,Nhạc Nước Ngoài,"Pop, Âu Mỹ",MIXUS
Dreamers (Music from the…,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Single),,,"Jung Kook, BTS, FIFA Sound",,"Âu Mỹ, Pop",FUGA
Shape of You,Shape of You (Single),,,Travis Atreo,"Ed Sheeran, Kandi L Burruss, Kevin Jerome Briggs, Tameka D Cottle, Steve Mac","Âu Mỹ, Pop",Ingrooves Music Group
Perfect,Our Acoustic Life (Single),,,Double Chick,,"Âu Mỹ, Pop, R&B / Soul",RouteNote
Photograph,Our Acoustic Life (Single),,,Double Chick,,"Âu Mỹ, Pop, R&B / Soul",RouteNote
Sleep Well,Sleep Well (Single),,,"CG5, CHI-CHI, Kathy-Chan, Cami-Cat","CG5, Zachary Preciado","Âu Mỹ, Pop",Ingrooves Music Group
That’s So True,The Secret of Us (Deluxe),,,Gracie Abrams,,"Âu Mỹ, Pop",Universal Music Group
Just Say Hello,Just Say Hello (Single),,,Melo-D,Peter Pan,"Âu Mỹ, Pop",Believe
Espresso,Espresso (Single),,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Dancin (Sped Up),Dancin (Sped Up) (Single),,,KONO,Aaron Smith,"Âu Mỹ, Pop, Electronic / Dance",RouteNote
Little Bit Better,Little Bit Better (Single),,,"Caleb Hearn, Rosie","Alex Borel, Caleb Hearn, Rosaileen Scher","Âu Mỹ, Pop",FUGA
Attention,Attention (Single),,,Travis Atreo,"Jacob Hindlin, Charlie Puth, Jacob Kasher","Âu Mỹ, Pop",Ingrooves Music Group
Young And Beautiful,new (EP),,,RONIA,"Lana Del Rey, Rick Nowels","Âu Mỹ, Pop",Ingrooves Music Group
See You Again,See You Again (Single),,,Travis Atreo,"Charlie Otto Puth Jr, Justin Scott Franks, Andrew Cedar, Wiz Khalifa","Âu Mỹ, Pop",Ingrooves Music Group
Land Of The Heroes (Arabic…,Land Of The Heroes (Arabic Version) (Single),,,"Alan Walker, Sophie Stray, Zena Emad","Alan Walker, James Njie, Fredrik Borch Olsen, Gunnar Greve, Marcus Arnbekk","Âu Mỹ, Electronic / Dance, Pop",RouteNote
we can't be friends (wait…,eternal sunshine,,,Ariana Grande,,"Âu Mỹ, Pop",Universal Music Group
Love Yourself,Love Yourself (Single),,,"Travis Atreo, Joseph Vincent","Justin Bieber, Ed Sheeran, benny blanco","Âu Mỹ, Pop",Ingrooves Music Group
SugarCrash! (8D Audio Mix),SugarCrash! (8D Audio Mix) (Single),,,8D Labs,Elliott Platt,"Âu Mỹ, Pop",Ingrooves Music Group
Die With A Smile (Acoustic),Die With A Smile (Acoustic) (Single),,,KHANHLINH,"Emile Dernst, FAUNTLEROY JAMES EDWARD, GERMANOTTA STEFANI, HERNANDEZ PETER GENE, WATT ANDREW","Âu Mỹ, Pop",Ingrooves Music Group
Abcdefu,TikTok Viral Hits,,,TikTok Mania,"Sara Davis, David Bruce Pittenger, Taylor Gayle Rutherford","Âu Mỹ, Pop",Ingrooves Music Group
Espresso,Espresso (Single),,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Fortnight,THE TORTURED POETS DEPARTMENT,,,"Taylor Swift, Post Malone",,"Âu Mỹ, Pop",Universal Music Group
at my worst,At My Worst (Single),,,"Creamy, Sølace, 11:11 Music Group",,"Âu Mỹ, Alternative, Pop",RouteNote
2002,2002 (Single),,,Teodora Sava,,"Âu Mỹ, Pop",RouteNote
If Only I,If Only I (Single),,,"Loud Luxury, Two Friends, Bebe Rexha","Matthew Halper, Eli Sones, Andrew Fedyk, Joseph Depace, Nick Henriques","Âu Mỹ, Electronic / Dance, Pop",Armada
Dynasty (Elephante Remix),Dynasty (Elephante Remix) (Single),,,Miia,"Hillary Bernstein, Joachim Rygg, Mario Valdés","Âu Mỹ, Pop",Ingrooves Music Group
Too Sweet,Unheard (Single),,,Hozier,,"Âu Mỹ, Pop",Universal Music Group
Unholy,Unholy (Single),,,"Sam Smith, Kim Petras",,"Âu Mỹ, Pop",Universal Music Group
a thousand years,a thousand years (Single),,,"GhostDragon, LAMA, Daye","Preston Mah, Raghav Lama, Tasjianna Daye Bachman, Christina Perri","Âu Mỹ, Pop",FUGA
Strategy (feat. Megan Thee…,STRATEGY,,,"TWICE, Megan Thee Stallion","Earattack, Boy Matthews, Cleo Tighe, Woo","Âu Mỹ, Pop",Ingrooves Music Group
PARANOIA,PARANOIA (Single),,,"HEARTSTEEL, League Of Legends, Baekhyun, Tobi Lou, ØZI","Sebastien Najand, Cal Scruby, Rob Russell, Carlos St. John","Âu Mỹ, Pop, Rap / Hip Hop",FUGA
Ma Meilleure Ennemie…,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),,,"Stromae, Pomme","Claire Pommet, Alexander Seaver, Luc Van Haver, Stromae","Âu Mỹ, Pop",Ingrooves Music Group
Rewrite the Stars,Rewrite the Stars (Single),,,"Travis Atreo, Priska","Benj Pasek, Justin Paul Noble","Âu Mỹ, Pop",Ingrooves Music Group
How Far I'll Go,How Far I'll Go (Single),,,Travis Atreo,Lin-Manuel Miranda,"Âu Mỹ, Pop",Ingrooves Music Group
Taste,Short n' Sweet,,,Sabrina Carpenter,,"Âu Mỹ, Pop",Universal Music Group
Blank Space (Taylor's…,1989 (Taylor's Version),,,Taylor Swift,,"Âu Mỹ, Pop",Universal Music Group
Havana,Havana (Single),,,Julius Jeremiah,,"Âu Mỹ, Pop",RouteNote
I Don't Wanna Wait,Artificial Paradise (Deluxe),,,"David Guetta, OneRepublic",,"Âu Mỹ, Pop",Universal Music Group
Infinity,TikTok Viral Hits,,,TikTok Mania,Jaymes Young,"Âu Mỹ, Pop",Ingrooves Music Group
Night Changes,Night Changes (Single),,,Travis Atreo,"Jamie Scott, Zain Javadd Malik, John Henry Ryan, Julian C. Bunetta, Niall James Horan","Âu Mỹ, Pop",Ingrooves Music Group
Lose My Breath (Feat.…,Lose My Breath (Feat. Charlie Puth) (EP),,,"Stray Kids, Charlie Puth","Charlie Puth, Bang Chan (3RACHA), CHANGBIN (3RACHA), HAN (3RACHA), Johnny Goldstein","Âu Mỹ, Pop",Ingrooves Music Group
Love Story,Love Story (Single),,,Travis Atreo,Taylor Swift,"Âu Mỹ, Pop",Ingrooves Music Group
Strategy,STRATEGY,,,TWICE,"Earattack, Boy Matthews, Cleo Tighe, Woo","Âu Mỹ, Pop",Ingrooves Music Group
Locked Away,Locked Away (Single),,,Travis Atreo,"Theron Thomas, Timothy Thomas, Lukasz Gottwald, HENRY WALTER, ; CATHRYN TENNILLE","Âu Mỹ, Pop",Ingrooves Music Group
Unsure,Unsure (Single),,,"Alan Walker, Kylie Cantrall","Alan Walker, Gunnar Greve, Jordan Miller, Kristoffer Haugan, Edvard Normann","Âu Mỹ, Pop",FUGA
Girls Like You,Girls Like You (Single),,,Travis Atreo,"Brittany Talia Hazzard, Gian Stone, JASON GREGORY EVIGAN, Henry Russell Walter, Adam Levine","Âu Mỹ, Pop",Ingrooves Music Group
Habits (Stay High),Habits (Stay High) [Stripped in France] (EP),,,Tove Lo,,"Âu Mỹ, Pop",Ingrooves Music Group
Love Me Like You Do,Love Me Like You Do (Single),,,Travis Atreo,"Ilya, Rami Yacoub, Carl Falk, Savan Kotecha, Tove Lo, Martin Max, Ali Payami","Âu Mỹ, Pop",Ingrooves Music Group
Dancing in love,Dancing in love (Single),,,"Alan Walker, Meek","Alan Walker, Andrew Bullimore, Georgia Meek, Nathan Nicholson, Fredrik Borch Olsen","Âu Mỹ, Pop",FUGA
"Good Luck, Babe!","Good Luck, Babe! (Single)",,,Chappell Roan,,"Âu Mỹ, Pop",Universal Music Group
Too Good at Goodbyes,Too Good at Goodbyes (Single),,,Travis Atreo,"Sia Furler, Benny Blanco, Mikkel Storleer Eriksen, Tor Erik Hermansen, Samuel Frederick Smith, James John Napier","Âu Mỹ, Pop",Ingrooves Music Group
Build a Bitch,TikTok Viral Hits,,,TikTok Mania,"David Arkwright, Justin Gamella, Daniel Virgil Maisonneuve, salem ilese, Bella Poarch","Âu Mỹ, Pop",Ingrooves Music Group
Mary On A Cross - Remake…,Mary On A Cross - Remake Cover (Single),,,"renewwed, Capella, Tazzy",,"Âu Mỹ, Pop",RouteNote
Unfair (Felix),HOP,,,Stray Kids,"Felix, Versachoi","Âu Mỹ, Pop",Ingrooves Music Group
Forever Young,Forever Young (Single),,,Alan Walker,"Alan Walker, Anders Frøen, Jesper Borgen, Sarah Blanchard, Sophie Simmons","Âu Mỹ, Pop",FUGA
Shallow,Our Acoustic Life (Single),,,Double Chick,,"Âu Mỹ, Pop, R&B / Soul",RouteNote
Die With A Smile,Die With A Smile (Single),,,KHANHLINH,"Emile Dernst, FAUNTLEROY JAMES EDWARD, GERMANOTTA STEFANI, HERNANDEZ PETER GENE, WATT ANDREW","Âu Mỹ, Pop",Ingrooves Music Group
Stay (8D Audio Mix),Stay (8D Audio Mix) (Single),,,8D Labs,"Justin Bieber, Michael Mule, Magnus Hoiberg, Isaac Deboni, Charles Puth","Âu Mỹ, Pop",Ingrooves Music Group
intentions,intentions (Single),,,Starfall,,"Âu Mỹ, Pop",Universal Music Group
Can't Help Falling in Love…,Can't Help Falling in Love With You (Single),,,Travis Atreo,"Luigi Creatore, Hugo E Peretti, George David Weiss","Âu Mỹ, Pop",Ingrooves Music Group
the boy is mine,eternal sunshine,,,Ariana Grande,,"Âu Mỹ, Pop",Universal Music Group
sunroof - slowed + reverb,sunroof - slowed + reverb (Single),,,"Slo, Twilight, Tazzy",,"Âu Mỹ, Pop",RouteNote
